avg_view,avg_score,avg_fav,avg_comment,count,popularity,popularity_normalized,topic_distribution
295.0060790273556,1.9764437689969605,0.0,1.171352583586626,2632,0.0,0.0,4
308.4945701357466,2.467420814479638,0.0,1.4312217194570136,2210,0.0,0.0,7
355.4545128939828,2.320558739255014,0.0,1.3291547277936964,2792,0.0,0.0,8
243.39858338699293,2.059240180296201,0.0,1.3612363168061816,1553,0.0,0.0,10
309.72136222910217,1.7863777089783281,0.0,1.238390092879257,323,0.0,0.0,12
359.48420577617327,2.142148014440433,0.0,1.3249097472924187,2216,0.0,0.0,13
343.1081593927894,1.8431372549019607,0.0,1.200506008855155,3162,0.0,0.0,14
265.3443396226415,1.89937106918239,0.0,1.2389937106918238,636,0.0,0.0,17
338.6234676007005,1.550496205487449,0.0,1.1056625802685347,1713,0.0,0.0,0
303.04662004662003,2.36013986013986,0.0,1.3700466200466201,1716,0.0,0.0,1
274.8875305623472,1.8444987775061126,0.0,1.3305623471882642,2045,0.0,0.0,2
261.23770104068115,2.3616367076631977,0.0,1.403973509933775,4228,0.0,0.0,3
241.37311633514165,2.1416515973478,0.0,1.1157323688969258,1659,0.0,0.0,5
265.5023622047244,2.0456692913385828,0.0,1.4440944881889763,1270,0.0,0.0,11
291.1372118551043,2.1745334796926454,0.0,1.2618002195389681,1822,0.0,0.0,19
307.4171607952564,2.438437391001046,0.0,1.4091384722706661,2867,0.0,0.0,9
286.3315197678636,2.075081610446137,0.0,1.3391367428364165,2757,0.0,0.0,18
274.35483870967744,2.1360887096774195,0.0,1.4223790322580645,992,0.0,0.0,15
336.32719298245615,1.881578947368421,0.0,1.3982456140350876,1140,0.0,0.0,6
379.2368421052632,1.6111111111111112,0.0,1.108187134502924,342,0.0,0.0,16
